実測値,マーカの点x,マーカの点y,距離推定
20,528,402,3.0708
20-1,528,402,3.0708
20-2,528,402,3.0708
40,525,428,0.3267
40-1,525,428,0.3162
40-2,525,428,0.3162
60,528,446,0.4394
60-1,528,446,0.4394
60-2,528,445,0.4118
80,524,465,0.8627
80-1,524,465,0.8588
80-2,524,465,0.8588
100,525,482,1.1378
100-1,525,482,1.1378
100-2,525,482,1.1385
120,527,500,1.3619
120-1,527,500,1.3619
120-2,527,500,1.3619
140,525,513,1.5217
140-1,526,513,1.5227
140-2,525,512,1.5137
160,535,528,1.7498
160-1,536,528,1.7514
160-2,536,528,1.7514
180,539,541,1.9583
180-1,539,540,1.9480
180-2,538,540,1.9471
200,536,554,2.1882
200-1,536,554,2.1873
200-2,536,554,2.1882
220,528,565,2.3767
220-1,528,565,2.3767
220-2,528,565,2.3767
240,524,576,2.6054
240-1,524,576,2.6054
240-2,524,576,2.6054
260,530,586,2.8540
260-1,530,586,2.8540
260-2,530,586,2.8540
280,523,593,3.0155
280-1,523,593,3.0155
280-2,522,593,3.0145
300,520,602,3.2606
300-1,519,602,3.2602
300-2,519,602,3.2602
320,518,610,3.5043
320-1,518,610,3.5043
320-2,518,610,3.5043
340,522,617,3.7394
340-1,522,617,3.7394
340-2,522,617,3.7394
360,522,617,3.7394
360-1,522,617,3.7394
360-2,522,617,3.7394
380,521,628,4.1692
380-1,521,628,4.1692
380-2,521,628,4.1692
400,532,632,4.3665
400-1,533,632,4.3704
400-2,533,632,4.3704
420,519,638,4.6314
420-1,519,638,4.6314
420-2,519,638,4.6314
440,518,641,4.7809
440-1,519,641,4.7815
440-2,518,640,4.7637
460,538,643,4.9850
460-1,538,643,4.9850
460-2,538,643,4.9850
480,511,647,5.1434
480-1,511,647,5.1434
480-2,511,647,5.1434
500,525,659,6.0785
500-1,524,659,6.0740
500-2,524,659,6.0740
520,520,658,5.9751
520-1,520,658,5.9751
520-2,520,658,5.9751
540,520,661,6.2633
540-1,520,661,6.2611
540-2,520,661,6.2611
560,526,664,6.5738
560-1,526,664,6.6425
560-2,526,664,6.5738
580,519,662,6.3492
580-1,519,662,6.3492
580-2,519,662,6.3492
600,520,667,6.8877
600-1,520,667,6.8877
600-2,520,667,6.8877
620,527,667,6.9300
620-1,527,667,6.9278
620-2,527,667,6.9278
640,528,670,7.2805
640-1,528,670,7.2805
640-2,528,670,7.2856
660,527,672,7.5678
660-1,528,672,7.5731
660-2,527,672,7.5652
680,517,673,7.6374
680-1,517,673,7.6385
680-2,517,673,7.6374
700,522,676,8.1316
700-1,522,676,8.1295
700-2,522,676,8.1316
720,523,678,8.4476
720-1,524,678,8.4501
720-2,524,678,8.4501
740,520,681,8.9783
740-1,520,681,8.9783
740-2,520,681,8.9783
760,511,674,7.7590
760-1,511,675,7.8976
760-2,511,675,7.8976
780,516,678,8.4046
780-1,516,678,8.4046
780-2,516,678,8.4046
800,497,674,7.7979
800-1,497,674,7.7979
800-2,497,674,7.7979
820,500,682,9.1550
820-1,500,682,9.2160
820-2,500,683,9.3399
840,500,685,9.7915
840-1,500,684,9.6578
840-2,500,684,9.6578
860,763,377,4.3476
860-1,635,192,3.3302
860-2,536,677,8.4319
880,523,686,10.037
880-1,524,686,10.047
880-2,524,685,9.8335
900,521,681,8.9867
900-1,521,681,8.9867
900-2,521,681,8.9867
920,510,683,9.3083
920-1,510,683,9.3085
920-2,510,683,9.3083
940,770,410,4.8158
940-1,508,690,10.934
940-2,509,690,10.933
960,768,371,4.5964
960-1,532,693,11.901
960-2,532,693,11.901
980,774,397,4.9452
980-1,526,694,12.069
980-2,526,694,12.064
1000,704,296,2.9559
