実測値,マーカの点x,マーカの点y,距離推定,キャリブレーション結果
20,528,402,307.08000000000004,28.4305080937157
20-1,528,402,307.08000000000004,28.4305080937157
20-2,528,402,307.08000000000004,28.4305080937157
40,525,428,32.67,47.627313323140136
40-1,525,428,31.619999999999997,47.627313323140136
40-2,525,428,31.619999999999997,47.627313323140136
60,528,446,43.94,66.28750673996583
60-1,528,446,43.94,66.28750673996583
60-2,528,445,41.18,65.28801018630392
80,524,465,86.27,84.92086126319008
80-1,524,465,85.88,84.92086126319008
80-2,524,465,85.88,84.92086126319008
100,525,482,113.77999999999999,104.24130614938079
100-1,525,482,113.77999999999999,104.24130614938079
100-2,525,482,113.85000000000001,104.24130614938079
120,527,500,136.19,126.30491437206854
120-1,527,500,136.19,126.30491437206854
120-2,527,500,136.19,126.30491437206854
140,525,513,152.17000000000002,142.56351594052364
140-1,526,513,152.26999999999998,142.77550877453874
140-2,525,512,151.37,141.24043124692355
160,535,528,174.98,165.77534683662418
160-1,536,528,175.14000000000001,166.0811595442535
160-2,536,528,175.14000000000001,166.0811595442535
180,539,541,195.82999999999998,186.49024916483103
180-1,539,540,194.79999999999998,184.93608725562282
180-2,538,540,194.71,184.60159654794745
200,536,554,218.82000000000002,206.7419388939471
200-1,536,554,218.73,206.7419388939471
200-2,536,554,218.82000000000002,206.7419388939471
220,528,565,237.67000000000002,224.1799051380733
220-1,528,565,237.67000000000002,224.1799051380733
220-2,528,565,237.67000000000002,224.1799051380733
240,524,576,260.54,244.80474334665462
240-1,524,576,260.54,244.80474334665462
240-2,524,576,260.54,244.80474334665462
260,530,586,285.40000000000003,267.84888072261907
260-1,530,586,285.40000000000003,267.84888072261907
260-2,530,586,285.40000000000003,267.84888072261907
280,523,593,301.55,282.6078584289392
280-1,523,593,301.55,282.6078584289392
280-2,522,593,301.45,282.40260358993135
300,520,602,326.06,305.15141296248356
300-1,519,602,326.02000000000004,304.9705487086793
300-2,519,602,326.02000000000004,304.9705487086793
320,518,610,350.43,327.5901862488265
320-1,518,610,350.43,327.5901862488265
320-2,518,610,350.43,327.5901862488265
340,522,617,373.94,350.48698340648144
340-1,522,617,373.94,350.48698340648144
340-2,522,617,373.94,350.48698340648144
