実測値,マ�カの点x,マ�カの点y,距離推�,キャリブレーション結果,error[%],error2[%],error[m],error2[m]
20,528,402,307.08,28.43050809,1435.4,42.15254047,287.08,8.430508094
20,528,402,307.08,28.43050809,1435.4,42.15254047,287.08,8.430508094
20,528,402,307.08,28.43050809,1435.4,42.15254047,287.08,8.430508094
40,525,428,32.67,47.62731332,18.325,19.06828331,7.33,7.627313323
40,525,428,31.62,47.62731332,20.95,19.06828331,8.38,7.627313323
40,525,428,31.62,47.62731332,20.95,19.06828331,8.38,7.627313323
60,528,446,43.94,66.28750674,26.76666667,10.4791779,16.06,6.28750674
60,528,446,43.94,66.28750674,26.76666667,10.4791779,16.06,6.28750674
60,528,445,41.18,65.28801019,31.36666667,8.813350311,18.82,5.288010186
80,524,465,86.27,84.92086126,7.8375,6.151076579,6.27,4.920861263
80,524,465,85.88,84.92086126,7.35,6.151076579,5.88,4.920861263
80,524,465,85.88,84.92086126,7.35,6.151076579,5.88,4.920861263
100,525,482,113.78,104.2413061,13.78,4.241306149,13.78,4.241306149
100,525,482,113.78,104.2413061,13.78,4.241306149,13.78,4.241306149
100,525,482,113.85,104.2413061,13.85,4.241306149,13.85,4.241306149
120,527,500,136.19,126.3049144,13.49166667,5.25409531,16.19,6.304914372
120,527,500,136.19,126.3049144,13.49166667,5.25409531,16.19,6.304914372
120,527,500,136.19,126.3049144,13.49166667,5.25409531,16.19,6.304914372
140,525,513,152.17,142.5635159,8.692857143,1.831082815,12.17,2.563515941
140,526,513,152.27,142.7755088,8.764285714,1.982506268,12.27,2.775508775
140,525,512,151.37,141.2404312,8.121428571,0.886022319,11.37,1.240431247
160,535,528,174.98,165.7753468,9.3625,3.609591773,14.98,5.775346837
160,536,528,175.14,166.0811595,9.4625,3.800724715,15.14,6.081159544
160,536,528,175.14,166.0811595,9.4625,3.800724715,15.14,6.081159544
180,539,541,195.83,186.4902492,8.794444444,3.60569398,15.83,6.490249165
180,539,540,194.8,184.9360873,8.222222222,2.742270698,14.8,4.936087256
180,538,540,194.71,184.6015965,8.172222222,2.556442527,14.71,4.601596548
200,536,554,218.82,206.7419389,9.41,3.370969447,18.82,6.741938894
200,536,554,218.73,206.7419389,9.365,3.370969447,18.73,6.741938894
200,536,554,218.82,206.7419389,9.41,3.370969447,18.82,6.741938894
220,528,565,237.67,224.1799051,8.031818182,1.899956881,17.67,4.179905138
220,528,565,237.67,224.1799051,8.031818182,1.899956881,17.67,4.179905138
220,528,565,237.67,224.1799051,8.031818182,1.899956881,17.67,4.179905138
240,524,576,260.54,244.8047433,8.558333333,2.001976394,20.54,4.804743347
240,524,576,260.54,244.8047433,8.558333333,2.001976394,20.54,4.804743347
240,524,576,260.54,244.8047433,8.558333333,2.001976394,20.54,4.804743347
260,530,586,285.4,267.8488807,9.769230769,3.018800278,25.4,7.848880723
260,530,586,285.4,267.8488807,9.769230769,3.018800278,25.4,7.848880723
260,530,586,285.4,267.8488807,9.769230769,3.018800278,25.4,7.848880723
280,523,593,301.55,282.6078584,7.696428571,0.93137801,21.55,2.607858429
